SID,start_time,end_time,start_year,max_wind,n_track_points,mean_lat,mean_lon,peak_intensity
1953148N08150,1953-05-28 00:00:00,1953-06-06 21:00:00,1953,120.0,80,14.565000000000001,131.445,TY
1953172N08142,1953-06-24 00:00:00,1953-06-25 21:00:00,1953,40.0,16,14.84375,124.75,TS
1953176N05150,1953-06-25 00:00:00,1953-07-08 06:00:00,1953,150.0,84,15.532142857142858,134.6809523809524,STY
1953211N19130,1953-07-30 00:00:00,1953-08-08 12:00:00,1953,100.0,73,28.064383561643833,138.9205479452055,TY
1953219N08155,1953-08-08 06:00:00,1953-08-18 12:00:00,1953,160.0,77,18.93246753246753,135.8792207792208,STY
1953222N17127,1953-08-12 00:00:00,1953-08-16 09:00:00,1953,100.0,33,18.95151515151515,111.02424242424243,TY
1953227N09147,1953-08-15 00:00:00,1953-08-22 00:00:00,1953,75.0,36,18.049999999999997,129.22222222222223,TY
1953235N10162,1953-08-24 00:00:00,1953-09-02 00:00:00,1953,125.0,73,17.77123287671233,137.43972602739726,TY
1953235N14148,1953-08-26 06:00:00,1953-08-29 12:00:00,1953,55.0,26,12.603846153846153,133.75384615384615,TS
1953256N17128,1953-09-15 06:00:00,1953-09-20 12:00:00,1953,110.0,43,20.951162790697673,114.35348837209303,TY
1953260N07153,1953-09-17 00:00:00,1953-09-26 03:00:00,1953,150.0,74,19.451351351351352,138.2445945945946,STY
1953274N16113,1953-10-03 12:00:00,1953-10-07 03:00:00,1953,100.0,30,24.783333333333335,134.17,TY
1953299N09138,1953-10-25 12:00:00,1953-11-02 00:00:00,1953,130.0,53,15.916981132075472,118.0056603773585,STY
1953313N06155,1953-11-08 18:00:00,1953-11-19 09:00:00,1953,120.0,72,13.397222222222222,132.4875,TY
1953326N04147,1953-11-25 00:00:00,1953-11-29 00:00:00,1953,40.0,30,14.479999999999999,131.76666666666668,TS
1954060N06136,1954-03-01 00:00:00,1954-03-04 12:00:00,1954,50.0,29,8.448275862068966,129.35172413793103,TS
1954125N07131,1954-05-05 00:00:00,1954-05-12 18:00:00,1954,100.0,63,12.792063492063491,117.6952380952381,TY
1954185N07145,1954-07-04 00:00:00,1954-07-10 03:00:00,1954,75.0,44,14.240909090909092,134.36363636363637,TY
1954223N22138,1954-08-11 18:00:00,1954-08-19 06:00:00,1954,100.0,61,27.504918032786886,130.64098360655737,TY
1954231N10159,1954-08-18 12:00:00,1954-08-31 12:00:00,1954,150.0,99,15.387878787878789,134.88888888888889,STY
1954231N13145,1954-08-20 18:00:00,1954-08-26 06:00:00,1954,40.0,45,25.457777777777775,130.17777777777778,TS
1954247N19152,1954-09-04 06:00:00,1954-09-15 12:00:00,1954,130.0,91,25.963736263736262,138.43736263736264,STY
1954261N11150,1954-09-19 00:00:00,1954-09-26 21:00:00,1954,75.0,64,20.4640625,133.275,TY
1954273N16146,1954-09-30 00:00:00,1954-10-13 00:00:00,1954,85.0,97,17.04123711340206,127.20103092783505,TY
1954300N10141,1954-10-28 18:00:00,1954-11-08 00:00:00,1954,150.0,80,18.12375,125.17750000000001,STY
1954307N04148,1954-11-02 12:00:00,1954-11-11 12:00:00,1954,150.0,73,13.093150684931507,129.36712328767123,STY
1954314N11152,1954-11-10 00:00:00,1954-11-20 06:00:00,1954,150.0,83,14.571084337349399,131.43975903614458,STY
1954326N12157,1954-11-22 00:00:00,1954-12-01 06:00:00,1954,125.0,75,11.585333333333333,139.24533333333332,TY
1955001N08140,1955-01-01 18:00:00,1955-01-06 06:00:00,1955,70.0,37,7.356756756756757,128.47027027027025,TY
1955107N07139,1955-04-17 00:00:00,1955-04-26 12:00:00,1955,100.0,77,16.022077922077923,133.80129870129872,TY
1955186N10147,1955-07-06 06:00:00,1955-07-15 12:00:00,1955,125.0,75,20.857333333333333,131.22666666666666,TY
1955194N18138,1955-07-13 12:00:00,1955-07-16 18:00:00,1955,70.0,27,25.72962962962963,135.06296296296296,TY
1955199N20131,1955-07-18 00:00:00,1955-07-21 12:00:00,1955,120.0,29,27.21379310344828,137.52068965517242,TY
1955232N09137,1955-08-22 06:00:00,1955-08-24 09:00:00,1955,80.0,18,22.36111111111111,121.42222222222222,TY
1955259N10153,1955-09-16 06:00:00,1955-09-26 18:00:00,1955,130.0,85,15.379999999999999,128.31058823529412,STY
1955276N11116,1955-10-03 18:00:00,1955-10-08 12:00:00,1955,35.0,39,15.266666666666666,115.05384615384617,TS
1955277N16134,1955-10-07 00:00:00,1955-10-11 21:00:00,1955,90.0,40,26.8625,137.4125,TY
1955289N19128,1955-10-15 12:00:00,1955-10-20 09:00:00,1955,85.0,32,25.503125,128.4,TY
1955295N10143,1955-10-23 12:00:00,1955-10-27 12:00:00,1955,40.0,24,12.904166666666667,137.84166666666667,TS
1955329N10129,1955-11-29 12:00:00,1955-12-03 03:00:00,1955,130.0,30,19.59,130.61,STY
1955346N06142,1955-12-12 06:00:00,1955-12-18 12:00:00,1955,180.0,51,16.905882352941177,137.4529411764706,STY
1956081N02154,1956-03-21 06:00:00,1956-04-05 18:00:00,1956,125.0,124,9.582258064516129,136.61693548387098,TY
1956100N12123,1956-04-09 00:00:00,1956-04-14 15:00:00,1956,40.0,36,14.11111111111111,115.64999999999999,TS
1956107N06147,1956-04-16 00:00:00,1956-04-25 00:00:00,1956,150.0,73,15.657534246575343,129.8082191780822,STY
1956187N12126,1956-07-05 06:00:00,1956-07-08 12:00:00,1956,80.0,27,15.881481481481481,116.34074074074073,TY
1956207N13145,1956-07-27 00:00:00,1956-08-03 09:00:00,1956,160.0,60,24.508333333333333,129.95333333333332,STY
1956215N23146,1956-08-03 00:00:00,1956-08-05 00:00:00,1956,65.0,17,24.341176470588238,135.90588235294118,TY
1956220N08137,1956-08-09 00:00:00,1956-08-10 12:00:00,1956,40.0,13,16.407692307692308,124.26153846153846,TS
1956223N16126,1956-08-12 00:00:00,1956-08-17 21:00:00,1956,100.0,48,26.558333333333334,128.01041666666666,TY
1956238N14143,1956-08-25 06:00:00,1956-09-02 00:00:00,1956,110.0,63,17.822222222222223,120.8015873015873,TY
1956242N16132,1956-08-29 06:00:00,1956-09-04 03:00:00,1956,95.0,48,21.239583333333332,126.72916666666667,TY
1956245N24140,1956-09-01 06:00:00,1956-09-10 09:00:00,1956,135.0,70,24.77857142857143,133.77428571428572,STY
1956257N18131,1956-09-13 00:00:00,1956-09-18 21:00:00,1956,85.0,48,22.59583333333333,123.20208333333333,TY
1956261N12129,1956-09-18 00:00:00,1956-09-23 21:00:00,1956,140.0,47,18.52553191489362,122.35106382978724,STY
1956263N15142,1956-09-20 06:00:00,1956-09-27 00:00:00,1956,110.0,55,20.638181818181817,132.26,TY
1956288N11132,1956-10-16 00:00:00,1956-10-26 12:00:00,1956,130.0,84,18.697619047619046,121.35119047619048,STY
1956314N08153,1956-11-10 00:00:00,1956-11-21 06:00:00,1956,95.0,86,13.529069767441861,127.24651162790698,TY
1956328N14129,1956-11-24 00:00:00,1956-11-25 06:00:00,1956,75.0,11,17.845454545454547,127.1,TY
1956329N09136,1956-11-24 12:00:00,1956-11-29 18:00:00,1956,75.0,43,13.9,126.56046511627908,TY
1956342N14128,1956-12-07 06:00:00,1956-12-10 06:00:00,1956,85.0,25,13.927999999999999,124.712,TY
1957003N07140,1957-01-03 00:00:00,1957-01-07 06:00:00,1957,40.0,28,8.917857142857143,131.87857142857143,TS
1957021N03152,1957-01-22 00:00:00,1957-01-27 06:00:00,1957,135.0,43,12.06046511627907,136.82325581395347,STY
1957101N05136,1957-04-11 00:00:00,1957-04-18 00:00:00,1957,100.0,53,13.158490566037736,128.23962264150944,TY
1957168N05156,1957-06-18 06:00:00,1957-06-28 12:00:00,1957,150.0,78,18.984615384615385,132.0230769230769,STY
1957192N07141,1957-07-11 00:00:00,1957-07-17 12:00:00,1957,90.0,50,15.764000000000001,124.714,TY
1957223N08145,1957-08-12 18:00:00,1957-08-22 03:00:00,1957,135.0,76,23.527631578947368,131.975,STY
1957249N18125,1957-09-09 00:00:00,1957-09-16 06:00:00,1957,110.0,56,21.462500000000002,121.95892857142857,TY
1957261N10147,1957-09-18 00:00:00,1957-09-27 09:00:00,1957,140.0,76,19.522368421052633,132.1092105263158,STY
1957261N12135,1957-09-18 12:00:00,1957-09-22 00:00:00,1957,90.0,29,16.886206896551723,123.6896551724138,TY
1957281N15118,1957-10-09 06:00:00,1957-10-13 03:00:00,1957,75.0,32,15.090625,112.01875,TY
1957284N13133,1957-10-12 00:00:00,1957-10-15 09:00:00,1957,45.0,28,16.74642857142857,118.72857142857143,TS
1957291N14155,1957-10-20 12:00:00,1957-10-30 00:00:00,1957,130.0,54,23.38888888888889,142.8814814814815,STY
1957309N11161,1957-11-07 00:00:00,1957-11-16 15:00:00,1957,140.0,78,16.484615384615385,128.9923076923077,STY
1958158N08151,1958-06-09 00:00:00,1958-06-12 21:00:00,1958,75.0,31,18.89032258064516,136.3548387096774,TY
1958179N04158,1958-06-29 00:00:00,1958-07-06 00:00:00,1958,75.0,50,15.89,142.27,TY
1958192N16135,1958-07-12 06:00:00,1958-07-16 09:00:00,1958,150.0,34,21.36176470588235,125.47352941176472,STY
1958194N05146,1958-07-14 12:00:00,1958-07-23 09:00:00,1958,130.0,72,21.998611111111114,135.1375,STY
1958194N20115,1958-07-13 18:00:00,1958-07-16 06:00:00,1958,60.0,21,18.038095238095238,118.62857142857142,TS
1958232N12139,1958-08-21 06:00:00,1958-08-26 03:00:00,1958,90.0,40,28.0925,134.365,TY
1958240N08146,1958-08-29 12:00:00,1958-09-04 15:00:00,1958,165.0,50,18.842,130.04,STY
1958251N10142,1958-09-09 00:00:00,1958-09-18 09:00:00,1958,150.0,76,23.20263157894737,133.0026315789474,STY
1958263N13148,1958-09-20 12:00:00,1958-09-26 21:00:00,1958,175.0,52,19.86730769230769,138.17884615384617,STY
1958293N12128,1958-10-20 06:00:00,1958-10-27 12:00:00,1958,100.0,59,13.916949152542374,116.36271186440678,TY
